Fecha,Dia,Conmemoracion,Fecha_Dia,Fecha_Mes,Fecha_Año,Fecha_MDA,Fecha_DT
08/12/17,Viernes,Inmaculada Concepcion De Maria,08,12,17,12/08/17,2017-12-08
25/12/17,Lunes,Navidad,25,12,17,12/25/17,2017-12-25
01/01/18,Lunes,Ano Nuevo,01,01,18,01/01/18,2018-01-01
12/02/18,Lunes,Desconocido,12,02,18,02/12/18,2018-02-12
12/03/18,Lunes,Desconocido,12,03,18,03/12/18,2018-03-12
23/03/18,Viernes,Aniversario Golpe De Estado Del 24 De Marzo De 1976,23,03,18,03/23/18,2018-03-23
02/04/18,Lunes,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,18,04/02/18,2018-04-02
30/04/18,Lunes,Feriado Puente Turistico,30,04,18,04/30/18,2018-04-30
01/05/18,Martes,Dia Del Trabajador,01,05,18,05/01/18,2018-05-01
25/05/18,Viernes,Primer Gobierno Patrio,25,05,18,05/25/18,2018-05-25
20/06/18,Miercoles,Paso A La Inmortalidad Del Gral. Belgrano,20,06,18,06/20/18,2018-06-20
17/08/18,Viernes,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,18,08/17/18,2018-08-17
12/10/18,Viernes,Dia Del Respeto A La Diversidad Cultural,12,10,18,10/12/18,2018-10-12
26/11/18,Lunes,Dia De La Soberania Nacional,26,11,18,11/26/18,2018-11-26
08/12/18,Sabado,Inmaculada Concepcion De Maria,08,12,18,12/08/18,2018-12-08
25/12/18,Martes,Navidad,25,12,18,12/25/18,2018-12-25
01/01/19,Martes,Ano Nuevo,01,01,19,01/01/19,2019-01-01
04/03/19,Lunes,Desconocido,04,03,19,03/04/19,2019-03-04
05/03/19,Martes,Carnaval,05,03,19,03/05/19,2019-03-05
24/03/19,Domingo,Aniversario Golpe De Estado Del 24 De Marzo De 1976,24,03,19,03/24/19,2019-03-24
02/04/19,Martes,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,19,04/02/19,2019-04-02
30/04/19,Martes,Feriado Puente Turistico,30,04,19,04/30/19,2019-04-30
01/05/19,Miercoles,Dia Del Trabajador,01,05,19,05/01/19,2019-05-01
25/05/19,Sabado,Primer Gobierno Patrio,25,05,19,05/25/19,2019-05-25
20/06/19,Jueves,Paso A La Inmortalidad Del Gral. Belgrano,20,06,19,06/20/19,2019-06-20
17/08/19,Sabado,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,19,08/17/19,2019-08-17
12/10/19,Sabado,Dia Del Respeto A La Diversidad Cultural,12,10,19,10/12/19,2019-10-12
25/11/19,Lunes,Dia De La Soberania Nacional,25,11,19,11/25/19,2019-11-25
08/12/19,Domingo,Inmaculada Concepcion De Maria,08,12,19,12/08/19,2019-12-08
25/12/19,Miercoles,Navidad,25,12,19,12/25/19,2019-12-25
01/01/20,Miercoles,Ano Nuevo,01,01,20,01/01/20,2020-01-01
24/02/20,Lunes,Desconocido,24,02,20,02/24/20,2020-02-24
25/02/20,Martes,Carnaval,25,02,20,02/25/20,2020-02-25
23/03/20,Lunes,Desconocido,23,03,20,03/23/20,2020-03-23
24/03/20,Martes,Aniversario Golpe De Estado Del 24 De Marzo De 1976,24,03,20,03/24/20,2020-03-24
02/04/20,Jueves,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,20,04/02/20,2020-04-02
30/04/20,Jueves,Feriado Puente Turistico,30,04,20,04/30/20,2020-04-30
01/05/20,Viernes,Dia Del Trabajador,01,05,20,05/01/20,2020-05-01
25/05/20,Lunes,Primer Gobierno Patrio,25,05,20,05/25/20,2020-05-25
20/06/20,Sabado,Paso A La Inmortalidad Del Gral. Belgrano,20,06,20,06/20/20,2020-06-20
17/08/20,Lunes,Paso A La Inmortalidad Del Gral. Jose De San Martin,17,08,20,08/17/20,2020-08-17
12/10/20,Lunes,Dia Del Respeto A La Diversidad Cultural,12,10,20,10/12/20,2020-10-12
23/11/20,Lunes,(10),23,11,20,11/23/20,2020-11-23
08/12/20,Martes,Inmaculada Concepcion De Maria,08,12,20,12/08/20,2020-12-08
25/12/20,Viernes,Navidad,25,12,20,12/25/20,2020-12-25
01/01/21,Viernes,Ano Nuevo,01,01,21,01/01/21,2021-01-01
15/02/21,Lunes,Desconocido,15,02,21,02/15/21,2021-02-15
16/02/21,Martes,Carnaval,16,02,21,02/16/21,2021-02-16
24/03/21,Miercoles,Aniversario Golpe De Estado Del 24 De Marzo De 1976,24,03,21,03/24/21,2021-03-24
02/04/21,Viernes,Dia Del Vet. Y De Los Caidos En La Guerra En Malvinas,02,04,21,04/02/21,2021-04-02
29/04/21,Jueves,Feriado Puente Turistico,29,04,21,04/29/21,2021-04-29
01/05/21,Sabado,Dia Del Trabajador,01,05,21,05/01/21,2021-05-01
25/05/21,Martes,Primer Gobierno Patrio,25,05,21,05/25/21,2021-05-25
20/06/21,Domingo,Paso A La Inmortalidad Del Gral. Belgrano,20,06,21,06/20/21,2021-06-20
